20 -13   6  -1   0   0  0  0  0  0  0   0   0   0  0  0 
-13 20 -13   6  -1   0  0  0  0  0  0   0   0   0  0  0  
6   -13  20  -13  6  -1  0  0   0   0   0   0    0   0   0  0
-1  6   -13  20  -13  6  -1 0   0   0   0   0    0   0   0  0
0   -1  6   -13  20  -13 6  -1  0   0   0   0    0   0   0  0 
0   0   -1  6   -13 20  -13 6   -1  0   0   0    0   0   0  0 
0   0   0   -1   6  -13 20 -13 6   -1  0   0    0   0   0  0
0   0   0   0   -1   6  -13 20  -13 6   -1  0    0   0   0  0 
0   0   0   0    0  -1  6  -13 20  -13 6   -1   0   0   0  0
0   0   0   0    0   0  -1 6   -13 20  -13 6   -1   0   0  0 
0   0   0   0    0   0  0  -1  6   -13 20  -13   6  -1   0  0 
0   0   0   0    0   0  0  0   -1  6   -13 20  -13  6  -1  0
0   0   0   0    0   0  0  0   0   -1  6   -13 20  -13  6  -1 
0   0   0   0    0   0  0  0   0   0   -1  6   -13 20  -13 6 
0   0   0   0    0   0  0  0   0   0   0   -1   6  -13 20  -13
0   0   0   0    0   0  0  0   0   0   0   0   -1   6  -13 20
